ID,Date,Element,Data_Value
USC00362629,06/30/06,TMAX,256
USC00365790,01/23/15,TMAX,6
USC00367477,01/15/09,TMIN,-189
USC00367409,02/22/07,TMIN,-61
USC00367477,03/25/07,TMAX,144
USC00367409,08/18/14,TMAX,261
USC00368469,06/16/07,TMAX,250
USC00367477,06/16/08,TMIN,139
USC00365790,01/23/15,TMIN,-39
USC00368469,09/09/13,TMIN,78
USC00365109,02/25/13,TMAX,17
USC00368469,06/24/08,TMAX,250
USC00368469,08/11/06,TMAX,278
USC00367409,11/02/11,TMAX,128
USC00360147,01/01/08,TMIN,-33
USC00368469,11/10/05,TMAX,150
USC00365790,10/28/08,TMIN,33
USC00360147,03/22/06,TMIN,-83
USC00368449,06/23/15,TMAX,289
USC00368449,06/23/15,TMIN,206
USC00360147,01/10/07,TMIN,-50
USC00367477,01/15/09,TMAX,-106
USC00365790,10/28/08,TMAX,89
USC00367409,02/05/08,TMAX,39
USC00365109,02/27/13,TMIN,-39
USC00368469,06/06/07,TMIN,78
USC00365109,06/17/07,TMIN,133
USC00365109,02/27/13,TMAX,44
USC00368469,12/06/09,TMAX,0
USC00368469,08/11/06,TMIN,139
USC00361480,10/05/14,TMAX,133
USC00360147,03/22/06,TMAX,44
USC00368469,06/02/14,TMIN,28
USC00360147,01/01/08,TMAX,33
USC00365109,06/04/11,TMAX,256
USC00365109,03/30/14,TMAX,72
USC00365109,06/04/11,TMIN,78
USC00364853,12/10/05,TMIN,-56
USC00365109,02/25/13,TMIN,-72
USC00368469,04/18/10,TMIN,28
USC00368469,04/18/10,TMAX,61
USC00367409,11/02/11,TMIN,6
USC00367477,09/08/15,TMIN,156
USC00368449,04/25/10,TMAX,167
USC00367477,09/08/15,TMAX,306
USC00365109,06/17/07,TMAX,272
USC00368469,06/02/14,TMAX,256
USC00367477,10/30/10,TMIN,-22
USC00368469,01/25/05,TMIN,-217
USC00368469,01/25/05,TMAX,-44
USC00367409,06/26/15,TMAX,233
USC00362629,03/30/05,TMIN,0
USC00360147,04/21/10,TMIN,17
USC00367409,10/19/13,TMAX,172
USC00368469,10/03/10,TMAX,183
USC00367409,04/04/06,TMAX,183
USC00364853,04/04/06,TMAX,156
USC00365790,05/20/11,TMAX,183
USC00367409,09/06/13,TMIN,56
USC00360147,04/16/06,TMIN,50
USC00364853,04/04/06,TMIN,6
USC00367409,10/15/12,TMIN,89
USC00368469,09/11/12,TMIN,72
USC00365790,05/20/11,TMIN,111
USC00365109,11/08/12,TMAX,67
USC00368469,11/05/06,TMAX,83
USC00365109,03/08/14,TMAX,67
USC00368469,11/05/06,TMIN,-11
USC00365109,10/04/14,TMIN,111
USC00367477,10/06/05,TMAX,256
USC00361480,04/19/09,TMAX,228
USC00368469,10/03/10,TMIN,44
USC00365109,11/08/12,TMIN,-44
USC00367409,04/04/06,TMIN,33
USC00367409,09/06/13,TMAX,239
USC00365790,01/30/09,TMIN,-78
USC00367409,12/23/05,TMIN,-39
USC00368469,11/25/09,TMIN,67
USC00365790,01/30/09,TMAX,-28
USC00362629,12/13/05,TMIN,-183
USC00361480,03/06/14,TMIN,-167
USC00365790,11/17/13,TMIN,-6
USC00365790,09/26/12,TMAX,178
USC00365790,09/26/12,TMIN,44
USC00367409,11/23/11,TMAX,94
USC00361480,03/30/14,TMAX,83
USC00365790,11/17/13,TMAX,117
USC00361480,03/06/14,TMAX,0
USC00367409,09/12/15,TMAX,267
USC00368449,03/29/07,TMAX,150
USC00368469,04/12/11,TMAX,283
USC00367477,07/05/15,TMAX,261
USC00368469,09/11/12,TMAX,211
USC00368449,12/02/14,TMAX,133
USC00361480,10/19/13,TMAX,156
USC00365109,03/08/14,TMIN,-67
USC00365790,08/17/15,TMAX,317
USC00362629,10/14/06,TMIN,-17
USC00365109,10/04/14,TMAX,228
USC00368449,09/28/13,TMIN,94
USC00368449,09/28/13,TMAX,206
USC00368469,10/10/05,TMAX,156
USC00367409,09/12/15,TMIN,117
USC00365790,08/17/15,TMIN,133
USC00367477,10/06/05,TMIN,89
USC00368469,01/02/12,TMIN,-11
USC00367477,01/01/12,TMAX,56
USC00367477,12/30/08,TMIN,-28
USC00365109,09/30/13,TMAX,222
USC00365790,10/07/05,TMIN,106
USC00365790,06/09/08,TMAX,333
USC00360147,11/18/05,TMIN,-33
USC00360147,11/18/05,TMAX,17
USC00360147,06/17/07,TMIN,144
USC00367409,10/15/12,TMAX,250
USC00368449,03/08/10,TMIN,-11
USC00360147,03/17/10,TMIN,-22
USC00367409,09/16/15,TMAX,267
USC00361480,04/19/09,TMIN,-28
USC00367409,12/23/05,TMAX,17
USC00360147,10/16/14,TMAX,200
USC00367477,12/30/08,TMAX,56
USC00365109,10/19/13,TMIN,28
USC00365109,10/19/13,TMAX,167
USC00360147,06/17/07,TMAX,278
USC00361480,10/19/13,TMIN,-28
USC00368449,03/29/07,TMIN,0
USC00368469,04/12/11,TMIN,78
USC00360147,10/16/14,TMIN,144
USC00362629,10/14/06,TMAX,111
USC00368449,03/08/10,TMAX,106
USC00368469,10/10/05,TMIN,94
USC00367477,05/24/05,TMAX,122
USC00360147,03/17/10,TMAX,156
USC00361480,03/30/14,TMIN,-28
USC00360147,04/10/05,TMIN,6
USC00368469,11/25/09,TMAX,106
USC00362629,12/13/05,TMAX,-11
USC00365109,06/09/08,TMAX,344
USC00360147,02/22/07,TMIN,-56
USC00367477,07/20/06,TMIN,144
USC00367477,04/23/13,TMIN,-17
USC00364853,01/17/05,TMAX,-28
USC00365109,07/12/06,TMAX,311
USC00368449,03/03/12,TMAX,94
USC00367477,04/23/13,TMAX,144
USC00365109,05/02/07,TMAX,206
USC00365790,07/07/15,TMIN,178
USC00367409,05/03/12,TMIN,117
USC00365790,09/07/13,TMIN,39
USC00367477,07/05/15,TMIN,100
USC00365109,05/02/07,TMIN,72
USC00365790,06/17/14,TMAX,306
USC00368469,02/06/07,TMIN,-178
USC00365790,09/07/13,TMAX,206
USC00367477,11/13/13,TMIN,-50
USC00365790,05/14/09,TMIN,56
USC00360147,06/17/14,TMIN,128
USC00368469,11/14/08,TMIN,44
USC00362629,03/30/05,TMAX,133
USC00364853,01/17/05,TMIN,-94
USC00360147,04/21/10,TMAX,194
USC00367409,10/19/13,TMIN,39
USC00360147,04/05/08,TMAX,89
USC00365790,04/01/07,TMIN,44
USC00360147,09/16/09,TMIN,122
USC00367477,06/23/14,TMAX,267
USC00367477,06/23/14,TMIN,117
USC00360147,06/17/14,TMAX,294
USC00368449,07/27/11,TMIN,161
USC00368449,07/27/11,TMAX,294
USC00365790,07/07/15,TMAX,261
USC00361480,12/03/14,TMIN,-61
USC00368469,11/14/08,TMAX,100
USC00367477,11/13/13,TMAX,11
USC00365109,06/09/08,TMIN,206
USC00367477,07/20/06,TMAX,289
USC00368449,03/03/12,TMIN,-6
USC00368469,09/09/13,TMAX,233
USC00365790,03/06/14,TMIN,-161
USC00365790,01/02/15,TMAX,17
USC00365109,09/11/10,TMAX,206
USC00361480,01/23/15,TMAX,-11
USC00361480,12/03/14,TMAX,6
USC00365109,09/11/10,TMIN,78
USC00361480,01/07/12,TMAX,128
USC00368449,03/09/07,TMIN,-122
USC00365790,06/17/14,TMIN,161
USC00368449,03/09/07,TMAX,11
USC00368469,01/25/15,TMIN,-33
USC00361480,01/23/15,TMIN,-50
USC00364853,11/18/05,TMIN,-61
USC00367477,04/30/06,TMIN,-28
USC00368449,12/02/14,TMIN,-39
USC00368469,01/25/15,TMAX,50
USC00367409,11/23/11,TMIN,33
USC00367477,04/30/06,TMAX,206
USC00365790,01/02/15,TMIN,-56
USC00360147,02/24/10,TMIN,0
USC00367477,10/25/06,TMIN,11
USC00360147,09/16/11,TMAX,144
USC00365109,09/27/14,TMAX,250
USC00365790,03/06/14,TMAX,0
USC00360147,02/24/10,TMAX,28
USC00367409,06/26/15,TMIN,128
USC00365109,09/27/14,TMIN,117
USC00367409,09/16/15,TMIN,94
USC00367409,04/18/10,TMAX,83
USC00365790,05/14/09,TMAX,211
USC00368469,02/06/07,TMAX,-106
USC00368449,10/04/07,TMIN,150
USC00364853,11/18/05,TMAX,33
USC00367409,03/11/12,TMIN,-44
USC00368449,10/04/07,TMAX,261
USC00365790,03/26/07,TMIN,17
USC00367409,05/03/12,TMAX,272
USC00367409,03/11/12,TMAX,67
USC00367477,10/25/06,TMAX,39
USC00360147,09/16/11,TMIN,39
USC00361480,12/30/08,TMIN,-22
USC00367477,06/23/08,TMAX,250
USC00367409,10/11/14,TMAX,167
USC00367409,12/10/05,TMAX,-11
USC00360147,11/23/11,TMAX,89
USC00367477,03/29/13,TMIN,-6
USC00365790,09/04/07,TMIN,111
USC00361480,03/21/08,TMAX,28
USC00361480,05/31/11,TMAX,322
USC00365109,11/05/07,TMAX,128
USC00367477,11/05/12,TMAX,28
USC00365109,10/16/14,TMIN,144
USC00368469,10/22/13,TMAX,167
USC00367477,07/22/05,TMAX,289
USC00368449,09/16/11,TMIN,67
USC00365109,09/04/09,TMAX,261
USC00368449,09/16/11,TMAX,150
USC00367477,11/05/12,TMIN,0
USC00368469,12/03/14,TMIN,-61
USC00368469,05/03/09,TMAX,183
USC00367477,03/29/13,TMAX,44
USC00364853,03/06/05,TMAX,100
USC00360147,02/02/07,TMAX,17
USC00362629,06/18/08,TMAX,189
USC00365109,04/04/07,TMAX,250
USC00365109,04/04/07,TMIN,33
USC00367409,07/19/15,TMAX,317
USC00367477,09/10/12,TMIN,56
USC00364853,03/06/05,TMIN,-106
USC00367477,09/10/12,TMAX,194
USC00368469,10/22/13,TMIN,11
USC00368469,12/03/14,TMAX,17
USC00365790,09/09/15,TMIN,167
USC00365109,04/19/09,TMIN,50
USC00365109,04/19/09,TMAX,267
USC00365109,10/01/07,TMAX,233
USC00361480,02/22/12,TMAX,56
USC00362629,06/18/08,TMIN,117
USC00365109,09/28/13,TMIN,83
USC00365109,09/28/13,TMAX,233
USC00365790,04/24/08,TMIN,56
USC00368469,04/03/06,TMIN,61
USC00368469,10/24/14,TMIN,33
USC00367409,10/28/10,TMAX,217
USC00365790,11/22/07,TMIN,39
USC00367477,09/07/10,TMAX,239
USC00360147,12/26/07,TMAX,22
USC00360147,12/26/07,TMIN,-50
USC00365109,11/02/11,TMIN,-6
USC00367409,06/04/11,TMIN,72
USC00365790,03/21/08,TMAX,44
USC00360147,11/02/11,TMAX,111
USC00367477,05/01/07,TMIN,61
USC00360147,08/26/09,TMIN,156
USC00365109,11/02/11,TMAX,139
USC00360147,11/02/11,TMIN,0
USC00367409,02/24/10,TMAX,39
USC00365109,11/05/07,TMIN,-17
USC00365790,09/04/07,TMAX,289
USC00368449,04/25/11,TMIN,128
USC00361480,09/11/12,TMAX,206
USC00365109,06/17/14,TMIN,122
USC00368469,10/24/14,TMAX,156
USC00365109,06/17/14,TMAX,311
USC00365790,09/28/12,TMAX,178
USC00365790,09/28/12,TMIN,133
USC00361480,02/22/12,TMIN,-89
USC00365790,02/07/13,TMAX,6
USC00367477,05/01/07,TMAX,194
USC00368469,05/15/05,TMAX,244
USC00367409,02/24/10,TMIN,6
USC00365790,02/07/13,TMIN,-111
USC00368449,02/29/08,TMIN,-122
USC00368449,04/25/11,TMAX,211
USC00361480,10/17/13,TMAX,167
USC00361480,10/17/13,TMIN,106
USC00367409,07/19/15,TMIN,194
USC00368449,03/08/14,TMAX,50
USC00367409,09/30/13,TMIN,67
USC00367409,04/19/09,TMAX,250
USC00367409,04/19/09,TMIN,22
USC00367477,02/14/12,TMIN,-67
USC00365109,03/08/11,TMAX,72
USC00365109,03/08/11,TMIN,-67
USC00368469,10/12/07,TMIN,72
USC00367409,09/30/13,TMAX,222
USC00362629,03/22/06,TMIN,-100
USC00362629,03/22/06,TMAX,39
USC00368449,12/31/09,TMIN,-94
USC00368449,12/31/09,TMAX,-17
USC00367477,04/07/12,TMIN,-61
USC00368469,04/05/05,TMIN,-17
USC00365790,10/19/15,TMAX,67
USC00368449,03/08/14,TMIN,-44
USC00365790,08/27/09,TMIN,139
USC00360147,12/06/05,TMIN,-78
USC00365790,08/27/09,TMAX,294
USC00367409,12/10/05,TMIN,-44
USC00367477,11/14/11,TMIN,28
USC00365109,03/14/13,TMIN,-33
USC00365109,04/04/06,TMAX,178
USC00361480,03/21/08,TMIN,-28
USC00368469,06/22/05,TMAX,278
USC00362629,10/01/07,TMIN,72
USC00362629,10/01/07,TMAX,217
USC00368469,10/12/07,TMAX,111
USC00365790,10/19/15,TMIN,-56
USC00368469,07/12/06,TMIN,183
USC00368469,07/12/06,TMAX,306
USC00364853,12/23/05,TMAX,89
USC00360147,12/06/05,TMAX,6
USC00360147,11/27/15,TMIN,-22
USC00360147,11/27/15,TMAX,117
USC00365109,10/01/07,TMIN,83
USC00365790,08/12/13,TMIN,139
USC00365790,08/12/13,TMAX,261
USC00367477,09/01/07,TMAX,233
USC00367477,09/01/07,TMIN,61
USC00361480,05/31/11,TMIN,139
USC00368469,12/28/15,TMAX,128
USC00365790,04/24/08,TMAX,239
USC00368469,12/28/15,TMIN,0
USC00360147,05/03/12,TMAX,250
USC00360147,05/03/12,TMIN,128
USC00365109,03/02/05,TMIN,-50
USC00365109,03/02/05,TMAX,28
USC00360147,10/15/12,TMIN,89
USC00367477,08/15/09,TMAX,294
USC00367477,08/15/09,TMIN,139
USC00364853,12/23/05,TMIN,-33
USC00362629,05/02/07,TMIN,72
USC00367477,04/14/06,TMIN,56
USC00368449,03/14/13,TMAX,44
USC00367477,04/07/12,TMAX,128
USC00368449,03/22/06,TMAX,22
USC00360147,10/15/12,TMAX,244
USC00360147,09/03/09,TMAX,239
USC00360147,08/05/14,TMAX,272
USC00360147,09/03/09,TMIN,94
USC00368469,05/03/09,TMIN,44
USC00360147,08/05/14,TMIN,161
USC00360147,03/14/13,TMIN,-33
USC00360147,11/23/11,TMIN,28
USC00360147,03/14/13,TMAX,28
USC00367409,12/26/11,TMIN,-17
USC00368449,03/14/13,TMIN,-39
USC00367409,12/26/11,TMAX,78
USC00367477,02/14/12,TMAX,33
USC00367477,04/14/06,TMAX,200
USC00362629,07/14/07,TMAX,244
USC00360147,08/26/09,TMAX,278
USC00361480,09/11/12,TMIN,11
USC00365109,12/23/05,TMAX,17
USC00365109,12/23/05,TMIN,-39
USC00368449,12/21/14,TMAX,-22
USC00362629,07/10/05,TMIN,128
USC00367409,09/05/09,TMIN,106
USC00365109,10/03/10,TMAX,183
USC00367409,07/28/15,TMIN,150
USC00368469,05/03/12,TMIN,117
USC00367409,11/27/15,TMAX,128
USC00367409,11/27/15,TMIN,-22
USC00365109,10/03/10,TMIN,50
USC00367409,03/02/05,TMAX,22
USC00361480,04/17/14,TMIN,-72
USC00367477,10/15/12,TMAX,233
USC00365790,12/24/15,TMIN,89
USC00361480,04/16/11,TMAX,178
USC00361480,04/16/11,TMIN,17
USC00362629,11/20/07,TMAX,33
USC00367477,06/01/07,TMAX,300
USC00367409,02/15/05,TMAX,56
USC00368469,04/15/06,TMAX,122
USC00368469,04/15/06,TMIN,83
USC00367409,09/05/09,TMAX,267
USC00368469,11/27/15,TMIN,-28
USC00368469,09/28/13,TMIN,89
USC00362629,11/20/07,TMIN,11
USC00365109,08/13/14,TMIN,178
USC00368449,07/30/06,TMAX,300
USC00367409,11/17/06,TMAX,178
USC00368469,11/27/15,TMAX,128
USC00367409,02/25/13,TMAX,33
USC00367409,07/28/15,TMAX,306
USC00368449,07/30/06,TMIN,200
USC00367477,10/15/12,TMIN,106
USC00360147,01/10/08,TMIN,-28
USC00365109,08/13/14,TMAX,200
USC00360147,03/02/05,TMIN,-56
USC00367409,02/02/07,TMIN,-89
USC00368469,05/03/12,TMAX,261
USC00361480,03/21/15,TMAX,11
USC00368469,05/18/15,TMAX,272
USC00365109,11/18/05,TMIN,-56
USC00360147,04/18/15,TMAX,189
USC00360147,12/10/05,TMIN,-50
USC00367409,03/02/05,TMIN,-44
USC00361480,05/03/12,TMAX,256
USC00365109,11/06/06,TMIN,-33
USC00367477,08/18/12,TMAX,239
USC00367409,02/25/13,TMIN,-56
USC00365109,11/06/06,TMAX,106
USC00368449,03/16/10,TMAX,67
USC00365109,11/18/05,TMAX,39
USC00368469,09/01/05,TMAX,228
USC00361480,03/14/13,TMIN,-56
USC00367409,09/27/14,TMAX,239
USC00365109,05/10/05,TMAX,283
USC00365109,11/23/15,TMIN,-67
USC00365109,05/10/05,TMIN,72
USC00367477,01/11/12,TMAX,61
USC00367477,01/11/12,TMIN,-72
USC00365109,11/23/15,TMAX,61
USC00365790,12/24/15,TMAX,156
USC00368449,05/01/09,TMAX,172
USC00368449,03/16/10,TMIN,44
USC00368469,11/08/11,TMAX,161
USC00367409,09/27/14,TMIN,89
USC00360147,07/16/07,TMIN,111
USC00360147,07/16/07,TMAX,272
USC00360147,12/10/05,TMAX,-17
USC00368449,05/01/09,TMIN,111
USC00361480,04/17/14,TMAX,78
USC00367409,01/01/08,TMIN,-28
USC00361480,03/16/13,TMAX,56
USC00365790,11/08/12,TMAX,50
USC00367477,09/27/12,TMAX,194
USC00367477,09/27/12,TMIN,56
USC00368469,06/09/07,TMAX,322
USC00367477,08/07/05,TMAX,278
USC00368469,06/09/07,TMIN,144
USC00367477,08/07/05,TMIN,133
USC00365109,04/02/05,TMAX,183
USC00361480,03/16/13,TMIN,-78
USC00360147,03/31/13,TMIN,-33
USC00365790,07/23/10,TMAX,300
USC00365790,08/26/09,TMAX,283
USC00368469,11/08/11,TMIN,-28
USC00365790,09/09/15,TMAX,328
USC00367409,02/15/05,TMIN,6
USC00365109,12/13/05,TMAX,17
USC00365109,04/02/05,TMIN,56
USC00368469,04/06/11,TMAX,50
USC00360147,12/13/05,TMIN,-161
USC00362629,05/02/07,TMAX,206
USC00365790,11/22/07,TMAX,178
USC00365109,09/04/09,TMIN,106
USC00368469,04/03/06,TMAX,189
USC00367409,10/28/10,TMIN,50
USC00360147,10/28/10,TMAX,200
USC00362629,07/10/05,TMAX,278
USC00368449,04/04/09,TMIN,33
USC00365790,04/16/11,TMAX,161
USC00367477,11/17/07,TMAX,6
USC00365790,04/16/11,TMIN,22
USC00367409,04/17/14,TMAX,78
USC00365790,07/23/10,TMIN,161
USC00367409,06/04/11,TMAX,250
USC00367409,04/17/14,TMIN,-56
USC00368469,04/06/11,TMIN,-33
USC00364853,05/03/05,TMAX,122
USC00365109,12/13/05,TMIN,-161
USC00367477,08/10/06,TMAX,261
USC00368449,05/15/09,TMAX,200
USC00367477,10/01/06,TMIN,6
USC00365790,11/08/12,TMIN,-50
USC00368469,05/06/07,TMAX,239
USC00368449,12/21/14,TMIN,-39
USC00368469,05/18/15,TMIN,144
USC00368469,09/28/13,TMAX,206
USC00367477,12/05/09,TMAX,28
USC00360147,01/10/08,TMAX,117
USC00367477,12/05/09,TMIN,-50
USC00365790,03/16/13,TMAX,67
USC00361480,02/18/11,TMAX,161
USC00365790,03/16/13,TMIN,-22
USC00368469,05/06/07,TMIN,22
USC00368449,04/04/09,TMAX,156
USC00361480,02/18/11,TMIN,-11
USC00365790,03/21/08,TMIN,-33
USC00367477,10/01/06,TMAX,111
USC00362629,04/03/06,TMIN,50
USC00367477,11/17/07,TMIN,-11
USC00367409,01/01/08,TMAX,44
USC00365790,08/26/09,TMIN,122
USC00365109,04/21/10,TMAX,206
USC00365109,04/21/10,TMIN,28
USC00368449,05/15/09,TMIN,111
USC00360147,03/31/13,TMAX,117
USC00360147,12/13/05,TMAX,-11
USC00362629,05/01/08,TMAX,139
USC00367477,08/10/06,TMIN,89
USC00367409,03/08/11,TMAX,72
USC00367409,03/08/11,TMIN,-61
USC00367409,11/17/06,TMIN,100
USC00362629,05/01/08,TMIN,-22
USC00362629,04/03/06,TMAX,183
USC00360147,10/28/10,TMIN,78
USC00367477,08/18/12,TMIN,117
USC00368469,05/29/09,TMIN,150
USC00360147,02/02/07,TMIN,-100
USC00368469,11/14/13,TMIN,-33
USC00368469,08/16/09,TMIN,178
USC00368449,02/21/12,TMAX,50
USC00365790,08/09/08,TMIN,100
USC00361480,05/28/15,TMAX,272
USC00367409,01/04/06,TMAX,50
USC00367477,07/03/10,TMIN,50
USC00362629,08/09/07,TMIN,172
USC00365790,08/13/15,TMAX,256
USC00368449,08/29/14,TMAX,222
USC00365790,05/01/08,TMIN,-11
USC00367477,08/01/09,TMAX,239
USC00360147,10/25/10,TMAX,206
USC00360147,10/25/10,TMIN,50
USC00368469,11/01/07,TMIN,6
USC00368449,08/29/14,TMIN,106
USC00367409,12/06/05,TMAX,6
USC00367409,01/04/06,TMIN,11
USC00368469,09/30/12,TMAX,161
USC00361480,11/19/15,TMIN,67
USC00368469,09/30/12,TMIN,94
USC00360147,09/28/12,TMIN,122
USC00362629,08/09/07,TMAX,322
USC00365790,10/17/13,TMIN,89
USC00361480,11/19/15,TMAX,139
USC00368469,08/29/10,TMIN,106
USC00360147,09/28/12,TMAX,194
USC00361480,09/11/11,TMAX,267
USC00368449,07/19/15,TMIN,200
USC00361480,02/07/13,TMAX,11
USC00367409,09/28/13,TMAX,244
USC00361480,02/07/13,TMIN,-156
USC00364853,12/13/05,TMAX,-22
USC00368449,07/19/15,TMAX,306
USC00368469,11/01/07,TMAX,211
USC00362629,04/04/07,TMAX,244
USC00365790,08/09/08,TMAX,239
USC00368469,08/16/09,TMAX,306
USC00367409,11/10/09,TMAX,161
USC00367409,11/10/09,TMIN,39
USC00367409,12/06/05,TMIN,-78
USC00365109,08/26/09,TMAX,283
USC00360147,09/04/09,TMIN,100
USC00365109,06/18/07,TMAX,322
USC00365109,08/26/09,TMIN,161
USC00368449,04/19/09,TMAX,233
USC00367477,05/06/15,TMAX,222
USC00368469,05/13/10,TMIN,39
